Total Shiny,Lyut,Lucastar,platinium foxier,Cornetboy,missmiki,FT_NoNo,Nah.,acidity_kuno,Yuki,Guillaume,Kenzo,dylho,Lilishi,mateo,kuiki,Aki,ewox_,CRZ,Finity,Damien,a le gameur,MiloJoker,Aronn,satoshi,fayoum,the golden,Maxeuh,Maxime,Twisko,Matheo,Devils,50 Rupees,Gaven,NovaStorm,Nargax Sh,Kazutora,Benra_,The_shinobi70,LeDragonDuSommeil,Mr Lien,vaatax,Sach,lamort2.0,Stitchou,Dark Stevie,Commandant vados,Pokemaz
1054,4,63,62,186,3,5,10,3,163,1,19,5,95,2,1,1,199,8,77,2,19,8,1,23,1,7,10,17,1,5,1,1,17,5,2,1,4,1,2,3,1,1,4,5,1,1,3
,Simularbre,Plumeline Pom-Pom,Khélocrock,Sorbébé,Arcko,Monorpale,Roucool,Zéblitz,Katagami,Tournicoton,Barbicha,rampe-ailes,Sorboul,Venalgue,poichigeon,héricendre,farfaduvet,brocelome,absol,armaldo,bonbydou,wattapik,regieleki,majaspic,Xerneas,grodoudou,tarenbulle,Elekid,Libégon,crabicoque,araqua,flingouste,suicune,dolman,tete-de-fer,chacripan,balbuto,Vorastérie,Dophan,Carapuce,lépidonille,grelacon,lapyro,hurle-queue,rhinocorne,floravol,lilia
,Granivol,plumeline Buyō,frissonille,Chétiflor,Larveyette,Canarticho,Papilusion,Judokrak,fluvetin,,Psystigri,ampibidou,arkéapti,Kravarech,,,minisange,grahyena,verpom,Arceus ,paras,zorua,,mimiqui,,Luxray,nidoqueen,M Mime,,papinox,,,zeraora,virovent,epine-de-fer,,onix,,regigigas,simiabraz,,,raichu,flotte-meche,,,boguérisse
,Tropignon,laggron,linéon Galar,Bulbizarre,Coconfort,Carabaffe,Chrysacier,Zébibron,laporeille,,chartor,nigirigon affalée,cobaltium,,,,rongourman,chovsourir,tutenkafer,,ptitard,bekaglacon,,tarpaud,,fulguris,solgaleo,Dunaconda,,pandespiege,,,cradopau,vigoroth,,,spinda,,,dardagnan,,,superdofin,rugit-lune,,,herbizarre
,Larvadar,plumeline Hula,capumain,lovdisc,,Lumivole,Nosferalto,,chinchidou,,kraknoix,glaivodo,coxy,,,,rayquaza,caninos,entei,,medhyena,surcreine,,lewsor,,feurisson,Brindibou,ramolosse,,grenousse,,,soloshi,krabbos,,,otaquin,,,,,,mesmerella,floréclat,,,
,,reshiram,psykokwak,stari,,Skelenox,Poulpaf,,pichu,,grillepattes,Iguolta,amagara,,,,draco,Dracaufeu,réxilius,,poissirene,Osselait,,makuhita,,cornebre,ptyranidur,smogogo,,lipouti,,,diamat,Némélios Male,,,,,,,,,,Zoroak Hisui,,,
,,ponyta galar,brutalibré,pikachu,,,Crabaraque,,rocabot,,charbi,,krakoss,,,,cremy,avaltout,ortide,,ptiravi,fantyrm,,voltorbe,,Grodrive,gravalanche,cancrelove,,,,,soporifik,,,,,,,,,,,,,,
,,raichu Alola,pierroteknik,félinferno,,,Groudon,,lougaroc,,bacabouh,,farfuret,,,,piafabec,lampignon,rubobelle,,Mime JR,pyrobut,,machoc,,excelangue,grotichon,geolithe,,,,,chaffreau,,,,,,,,,,,,,,
,,zeroid,electhor,bargantua-r,,,Ponyta,,nounourson,,beldeneige,,carvanah,,,,Abo,kadabra,limonde Galar,,toudoudou,farfurex,,draieul,,,roitiflam,hypotremp,,,,,genesect,,,,,,,,,,,,,,
,,chrysapile,mouscotto,rattata,,,chenipan,,mysdibule,,gruikui,,fouinette,,,,Sonistrelle,,sharpedo,,Manzai,,,Motisma Lavage,,,amphinobi,gaulet,,,,,zamazenta,,,,,,,,,,,,,,
